Title,Location,Salary,Job Type1,Job Type2,Job Type3,Job Description
Intern- Assets Sales,Gujranwala,"Rs 10,000 - Rs 15,000 a month",Full-time,,,"['https://shemeanswork.com/#/job-detail/1304', 'To work in close coordination with Relationship Officer and assist him in completing monthly targets.', 'Job Responsibilities', '1. To Assist Relationship Officer to conduct the customer mobilization/Products Introduction in the field.', '2. To work with Relationship Officer in completion of loan documents.', '3. Coordination with customers for recovery follow ups.', '4 Deposit Mobilization', '5. Any other task assigned by the Branch Manager / Relationship Manager/Relationship Officer', 'Technical Competency', '1 Customer services', '2 Computer Skills', '3 Knowledge of banking applications', 'Management Competency', '1.', 'Soft Skills', '1 Communication skills', '2 Interpersonal skills', 'Job Type: Full-time', 'Pay: Rs10,000.00 - Rs15,000.00 per month']"
Wordpress Developer,Gujranwala,"Rs 10,000 - Rs 25,000 a month",Full-time,,,"[""We're looking for a skilled and enthusiastic WordPress Developer to join our team! As a WordPress Developer, you'll be responsible for creating, customizing, and maintaining high-quality websites built on the WordPress platform. You'll work closely with our designers and project managers to deliver unique solutions that meet our clients' needs."", ""We offer a stimulating work environment, opportunities for professional growth, and exciting projects. You'll be joining a supportive team that's passionate about creating high-quality WordPress websites. Even if you're new to customization tasks, we're happy to provide the training and guidance you need to succeed! Apply now and become part of our innovative development team.We're looking for a skilled and enthusiastic WordPress Developer to join our team! As a WordPress Developer, you'll be responsible for creating, customizing, and maintaining high-quality websites built on the WordPress platform. You'll work closely with our designers and project managers to deliver unique solutions that meet our clients' needs."", ""We offer a stimulating work environment, opportunities for professional growth, and exciting projects. You'll be joining a supportive team that's passionate about creating high-quality WordPress websites. Even if you're new to customization tasks, we're happy to provide the training and guidance you need to succeed! Apply now and become part of our innovative development team."", 'Job Type: Full-time', 'Pay: Rs10,000.00 - Rs25,000.00 per month', 'Ability to commute/relocate:']"
.NET Core Developer,Gujranwala,"Rs 35,000 - Rs 45,000 a month",Full-time,,,"['We are looking for an experienced “.NET Developer” who will be responsible for constructing quality web applications using the .NET programming components. Developers must be competent in using Microsoft’s technology to design, develop and implement these applications. Using their programming skills, developers must integrate their applications with other technologies and deliver specifications as requested by clients.', 'Technical Skills', 'Job Type: Full-time', 'Pay: Rs35,000.00 - Rs45,000.00 per month', 'Ability to commute/relocate:', 'Education:', 'Experience:']"
Department of Nutrition - PhD Required on Urgent Basis,Gujranwala,,,,,"['This is a full-time on-site role for a faculty in the Department of Nutrition. The faculty member will be responsible for teaching and research in their area of their specialization as well as engaging in community service & contributing to the overall development of the university. The role involves mentoring and advising students, developing and delivering course materials, and participating in university committees and activities.', 'Positions', 'Qualifications', 'Job Type: Full-time', 'Pay: Rs70,000.00 - Rs150,000.00 per month', 'Ability to commute/relocate:']"
.NET CORE PROGRAMMER,Gujranwala,,,,,"['Please submit your resume through WhatsApp at +1 647 975 2074', 'We have an exciting opportunity with the flexibility to ', ' To apply, please submit your resume through WhatsApp at ', ""It is important that you carefully review all the details provided to understand the hiring process and save everyone's time. "", 'The work schedule for this position is from ', ' with a ', 'DINNER break from Monday to Saturday.', 'To be eligible for this role, a ', '.', 'Job Type: Full-time', 'Pay: Rs65,000.00 - Rs150,000.00 per month', 'Experience:']"
Assistant Accounts (Female),Gujranwala,"Rs 15,000 a month",Full-time,Internship,Contract,"['Job Types: Full-time, Internship, Contract', 'Pay: From Rs15,000.00 per month']"
"Senior JavaScript Developer, IgniteTech (Remote) - $60,000/year USD",Punjab,,,,,[]
"Lead Software Engineer, Totogi (Remote) - $60,000/year USD",Punjab,,,,,[]
MBA/ BBA/ B.com(Documentation,Gujranwala,"Rs 15,000 - Rs 25,000 a month",Full-time,Internship,New-Grad,"['The following are some of the main accountabilities for which the person in this position is responsible.', 'Job Types: Full-time, Internship, New-Grad', 'Contract length: 3 months', 'Pay: Rs15,000.00 - Rs25,000.00 per month', 'Application Question(s):', 'Education:']"
Flutter Developer,Gujranwala,"Rs 50,000 - Rs 100,000 a month",Full-time,Permanent,,"['Please submit your resume through WhatsApp at +1 647 975 2074', 'We have an exciting opportunity with the flexibility to ', ' To apply, please submit your resume through WhatsApp at ', ""It is important that you carefully review all the details provided to understand the hiring process and save everyone's time. "", 'The work schedule for this position is from ', ' with a ', 'DINNER break from Monday to Saturday.', 'To be eligible for this role, a ', '.', 'Job Type: Full-time', 'Pay: Rs50,000.00 - Rs100,000.00 per month']"
Electrical Engineer Female,Gujranwala,"Rs 15,000 - Rs 25,000 a month",Full-time,Internship,Contract,"['The following are some of the main accountabilities for which the person in this position is responsible.', 'Job Types: Full-time, Contract, Internship', 'Pay: Rs15,000.00 - Rs25,000.00 per month', 'Application Question(s):', 'Education:', 'License/Certification:']"
"Senior Developer, Trilogy (Remote) - $100,000/year USD",Punjab,,,,,[]
"Lead Software Engineer, Trilogy (Remote) - $100,000/year USD",Punjab,,,,,[]
"Senior Developer, Trilogy (Remote) - $100,000/year USD",Pakistan,,,,,[]
MBA/BBA(Finance),Gujranwala,"Rs 15,000 - Rs 45,000 a month",Full-time,,,"['We’re looking for a results-driven Sales Representative with excellent interpersonal skills to actively seek out and engage customer prospects.', 'Job Type: Full-time', 'Pay: Rs15,000.00 - Rs45,000.00 per month', 'Education:']"
"Senior Software Engineer, Trilogy (Remote) - $100,000/year USD",Punjab,,,,,[]
MBA/ BBA/ B.com Female,Gujranwala,"Rs 15,000 - Rs 25,000 a month",Full-time,Internship,New-Grad,"['The following are some of the main accountabilities for which the person in this position is responsible.', 'Job Types: Full-time, Internship, New-Grad', 'Contract length: 3 months', 'Pay: Rs15,000.00 - Rs25,000.00 per month', 'Application Question(s):', 'Education:']"
MBA Finance (Female),Gujranwala,,,,,"[' Accountant', ' Gujranwala', 'Under the general directions the accountant will maintain and analyze accounting records and financial reports. The accountant will also compile and maintain accounts payable records.', 'BBA(Hons) Finance, MBA (Finance) or other relevant degree', 'Excellent verbal and written skills.', 'Knowledge and ability to use different types of office equipment and computer software to meet the performance requirements of the job.', 'Microsoft Office (Word, Excel, and Outlook), and computer skills.', 'Classifies, records, and summarizes numerical and financial data to compile and keep financial records, using journal, ledgers, and computers.', 'Debits, credits, and totals accounts.', 'Receives, records, and banks cash, checks and vouchers.', 'Checks and approves all vouchers for payment.', 'Reviews and verifies accounting records and transactions for accuracy, and reports discrepancies found in records.', 'Prepares and submits financial reports as required and reviews for accuracy prior to distribution.', 'Prepares invoice deduction notices as necessary.', 'Accounting, or auditing reports and tables of cash receipts, expenditures, accounts payable and receivable.', 'Compiles reports to show statistics such as cash receipts and expenditures, accounts payable and receivable, profit and loss, and other items pertinent to operation of business.', 'Prepares daily cash deposits and processes daily credit card deposits.', 'Files check stubs and bank receipts.', 'Examines accounts and records and computes taxes owed according to prescribed rates, laws, and regulations.', 'Organizes and maintains tax records and conducts tax studies and special projects.', 'Performs other duties as requested.', 'Job Type: Full-time']"
Flutter Developer / Mobile App Developer,Gujranwala,"Rs 10,000 - Rs 25,000 a month",Full-time,,,"[""We are seeking a skilled and passionate Flutter Developer to join our team. As a Flutter Developer, you will be responsible for designing, developing, and maintaining high-quality mobile applications using the Flutter framework. You will work closely with our cross-functional team to deliver innovative solutions that meet our clients' needs."", 'Responsibilities:', 'Requirements:', 'Join our team of talented Flutter Developers and contribute to the creation of cutting-edge mobile applications. We offer a collaborative work environment, opportunities for professional growth, and exciting projects. Apply now and be part of our innovative development team.', 'Job Type: Full-time', 'Pay: Rs10,000.00 - Rs25,000.00 per month', 'Ability to commute/relocate:']"
[Remote] MERN Stack Developer with DevOps Expertise: Build Scalable Web App,Gujranwala,"Rs 20,000 - Rs 70,000 a month",Full-time,Contract,,"['Are you a highly motivated and resilient web developer with expertise in the MERN stack and DevOps?', 'Are you driven by challenges, innovation, and the opportunity to work alongside visionary founders?', 'If you possess an unwavering drive for success and the ability to thrive in a fast-paced startup environment, we have an exciting opportunity for you!', 'We are seeking a talented MERN Stack Web Developer with DevOps experience to join our dynamic team.', 'As a key member of our technology startup, you will play a crucial role in developing robust web applications, prioritizing speed of deployment and product iteration.', 'In collaboration with our visionary founder, you will have the chance to make a lasting impact and contribute to our ambitious goals.', 'We believe that resilience, adaptability, and a strong drive for success are essential traits for our team members.', ""While we don't mention specific personality types, our founders, known for their strategic thinking and determination, seek candidates who can effectively collaborate with them to achieve outstanding outcomes."", 'Joining our team means being part of an environment where your drive, resilience, and technical expertise will be valued and celebrated.', 'We offer the opportunity to work with cutting-edge technologies, leverage AI tools for faster development, and be resourceful in research and troubleshooting. Your contributions will directly impact our software products as we build B2B and B2C solutions.', 'If you are a highly driven individual with a strong sense of resilience and thrive on challenges, we invite you to apply. Work alongside our visionary founders and a talented team as we push boundaries, deliver exceptional solutions, and shape the future of our industry.', 'Cudy Technologies is an innovative startup based in the vibrant city of Singapore. With a strong focus on technology and a drive for expansion, we operate in up to 10 countries, leveraging our in-house product development and operations to create impactful solutions.', ""As a lean startup, we believe in doing more with less. Our low headcount fosters a close-knit team environment where every individual's contribution is highly valued. Our automated and highly systematic approach allows us to optimize our workflows, maximizing efficiency and delivering exceptional results."", ""At Cudy Technologies, we don't limit ourselves to a single industry. We thrive on the diversity of our ventures, operating in various sectors such as Education, Services, Entertainment, and more. This cross-industry exposure offers endless opportunities for learning, growth, and professional development."", 'We are fueled by an unwavering ambition to make a significant impact in the markets we operate in. Our team is driven by a shared vision to revolutionize industries, disrupt traditional norms, and create innovative solutions that meet the evolving needs of our customers.', 'Joining our team means being part of a dynamic and forward-thinking environment. We encourage our team members to think outside the box, challenge the status quo, and embrace new ideas. As a member of Cudy Technologies, you will have the opportunity to make a tangible difference and leave your mark on our exciting journey.', 'If you are a highly ambitious individual seeking a stimulating and growth-oriented work environment, Cudy Technologies is the place for you. Join us as we continue to push boundaries, break barriers, and shape the future of industries through our innovative solutions.', '1. Remote work flexibility: Enjoy the freedom of working from anywhere as our startup embraces a 100% remote work culture. Say goodbye to commuting and embrace a flexible work-life balance.', '2. Work during office hours: Maintain a structured routine by working during designated office hours. This ensures effective collaboration and communication with team members, creating a sense of camaraderie despite the remote setup.', '3. Contactability and responsiveness: Stay connected with team members and clients during work hours, fostering real-time communication and ensuring efficient collaboration. Being reachable at all times helps maintain seamless workflows and client satisfaction.', '4. Flexible non-paid time off: Take advantage of our flexible non-paid time off policy, subject to approval. This allows you to plan personal commitments or breaks according to your needs, empowering you to achieve a healthy work-life integration.', '5. Minimal meetings: Unlike traditional office environments, we believe in minimizing unnecessary meetings. This allows you to focus more on impactful work, increasing productivity and reducing time spent in unproductive discussions.', '6. Upskilling opportunities: Gain a competitive edge and enhance your professional growth with full access to our comprehensive learning resources. Our commitment to upskilling empowers you to stay at the forefront of industry trends and build valuable expertise.', '7. Highly optimized work environment: Experience the efficiency and convenience of our software and automated work environment. We leverage cutting-edge tools and technology to streamline processes, eliminating unnecessary manual work and optimizing productivity.', '8. Accountability and attendance: Remote work time and screen tracking help ensure transparency, accountability, and fair evaluation. It promotes a results-oriented culture and allows you to showcase your dedication and achievements.', '1. Full-stack web development: Utilize the MERN stack (MongoDB, Express.js, React.js, Node.js) to develop scalable and efficient web applications for both B2B and B2C software solutions.', '2. Speed of deployment and product iteration: Prioritize rapid deployment and continuous product iteration over long-term scalability to meet evolving market demands and customer feedback.', '3. Testing and automation: Implement appropriate testing methodologies to support product iterations, including setting up automated test scripts and conducting various types of testing (unit testing, integration testing, etc.).', '4. Git management: Ensure proper version control and effective collaboration using Git, including branching, merging, and code reviews to maintain a clean and efficient codebase.', '5. AI tools utilization: Leverage AI tools for coding, scripting, and testing to enhance development speed, efficiency, and accuracy.', '6. Prioritization and project management: Properly prioritize tasks, collaborate with cross-functional teams, and manage multiple projects simultaneously to meet deadlines and achieve project goals.', '7. Resourcefulness and troubleshooting: Demonstrate resourcefulness and efficiency in researching and troubleshooting technical issues to ensure smooth development and resolve any challenges.', '8. DNS and AWS management: Host, manage, and maintain DNS configurations and AWS infrastructure to ensure projects are live, secure, and performant.', '9. Database management: Design, develop, and maintain databases, ensuring data integrity, security, and optimal performance.', '10. Bug fixes and code maintenance: Identify and resolve bugs in both new and legacy parts of the codebase, ensuring the stability and reliability of the software.', '11. Documentation: Produce clear and meaningful documentation, including code comments, API documentation, and user guides to facilitate collaboration, maintainability, and knowledge transfer.', '12. UI/UX focus: Pay attention to user interface and user experience aspects, working closely with designers to create intuitive and visually appealing interfaces.', '13. Performance optimization: Analyze and optimize application performance to ensure fast load times and smooth user experiences.', '14. Security implementation: Implement security best practices and measures to safeguard software and user data.', '15. Integration with third-party services: Integrate software with external APIs and services to enhance functionality and provide seamless user experiences.', '16. Stay updated on industry trends: Keep abreast of emerging technologies, frameworks, and best practices relevant to web development and DevOps.', '17. Agile development methodologies: Embrace agile principles and participate in agile ceremonies to foster a collaborative and iterative development environment.', '18. Integrate and implement open-source libraries and applications as needed', '1. Front-end Development:', '- HTML5', '- CSS3', '- JavaScript', '- React.js (including React Router and React Hooks)', '- Redux', '- UI libraries and frameworks (e.g., Ant Design)', '- Styled components', '2. Back-end Development:', '- Node.js', '- Express.js', '- MongoDB', '- MySQL or other SQL-based databases', '- RESTful APIs', '- GraphQL', '3. DevOps and Deployment:', '- AWS (Amazon Web Services)', '4. Testing and Quality Assurance:', '- Unit testing frameworks (e.g., Jest)', '- End-to-end testing frameworks (e.g., Cypress, Selenium)', '- Test automation tools (e.g., Puppeteer)', '5. Other Tools and Technologies:', '- Git version control (Bitbucket)', ""It's important to note that the specific technology stack may vary depending on the startup's preferences, project requirements, and industry focus. Candidates with a strong foundation in the MERN stack and relevant experience with DevOps tools and practices will be well-equipped to handle the challenges and requirements of the role."", 'It is important that you possess the required technical skills and are resourceful in utilizing AI generative tools, troubleshooting technical issues, and utilizing community resources effectively. Additionally, a willingness to continuously learn and adapt to new technologies and a strong collaborative mindset are crucial for success in this role.', '1. Proficiency in MERN stack: Strong hands-on experience and proficiency in MongoDB, Express.js, React.js, and Node.js for full-stack web development.', '2. DevOps experience: Demonstrated experience in DevOps practices, including AWS infrastructure management, CI/CD pipelines, and deployment automation.', '3. AI generative tools proficiency: Familiarity and proficiency in utilizing AI generative tools such as Github Copilot, ChatGPT, or similar platforms to enhance coding efficiency and accuracy.', '4. Resourcefulness and troubleshooting skills: Ability to independently research, troubleshoot, and problem-solve technical issues using resources like Stack Overflow and other popular knowledge communities and libraries.', '5. Experience with version control: Strong understanding of Git version control, including branching, merging, and collaborating effectively with other team members using Git workflows.', '6. Web development best practices: Familiarity with web development best practices, including clean code architecture, code optimization, and adherence to coding standards.', '7. UI/UX focus: Keen eye for UI/UX design principles and ability to collaborate effectively with designers to translate designs into intuitive and visually appealing user interfaces.', '8. Database management: Experience in designing, developing, and maintaining databases, particularly with MongoDB and SQL-based databases like MySQL.', '9. Agile development methodologies: Understanding of agile principles and experience working in an agile development environment, including participation in stand-ups, sprint planning, and retrospectives.', '10. Strong problem-solving skills: Proven ability to analyze complex problems, think critically, and propose effective solutions to technical challenges.', '11. Continuous learning mindset: Eagerness to stay up-to-date with emerging technologies, frameworks, and best practices in web development and DevOps through self-directed learning and exploration.', '12. Strong communication and collaboration skills: Ability to effectively communicate technical concepts and collaborate with cross-functional teams, including designers, product managers, and other developers.', '13. Self-motivated and adaptable: Proactive and self-driven with the ability to work independently and adapt to changing project requirements and timelines.', ""14. Bachelor's degree in Computer Science or a related field is preferred but not mandatory. Equivalent practical experience will also be considered."", 'Please note that the first round of interviews for this position at Cudy Technologies will be conducted remotely via video recording. We believe this approach allows candidates to showcase their skills and experience at their convenience while maintaining the efficiency of the hiring process. We value your time and flexibility, and this remote interview format enables us to reach candidates from diverse locations and backgrounds.', 'Rest assured that we will provide clear instructions on how to proceed with the remote interview process and ensure a seamless experience. We look forward to getting to know you better through this initial stage and identifying the potential for a successful collaboration.', 'In the second round of interviews at Cudy Technologies, you will have the unique opportunity to engage directly with our founder. As a visionary leader, our founder plays a pivotal role in shaping the direction and success of our company. This interview is a chance for you to showcase your skills, align with our vision, and demonstrate your potential contribution to our ambitious goals.', 'Join Cudy Technologies, where innovation and growth intersect. We are seeking ambitious individuals who share our values and passion for technology, ready to make a lasting impact in a supportive and collaborative startup environment.', 'Job Types: Full-time, Contract', 'Contract length: 12 months', 'Pay: Rs20,000.00 - Rs70,000.00 per month', 'Experience:', 'Language:']"
Electrical protection Engineer,Gujranwala,"Rs 15,000 - Rs 35,000 a month",Full-time,Internship,,"[' Electrical Engineer', ' Gujranwala', 'BSc Electrical engineering', '3 to 5 years experience', 'The following are some of the main accountabilities for which the person in this position is responsible.', 'Job Types: Full-time, Internship', 'Contract length: 3 months', 'Pay: Rs15,000.00 - Rs35,000.00 per month', 'Application Question(s):', 'Education:', 'Experience:', 'License/Certification:']"
IELTS / PTE Trainer,Gujranwala,,,,,"['Big Career Group Gujranwala is hiring an experienced ', 'Responsibilities:', 'Send your CV at sales-head@bigcareergroup.com', 'Job Type: Full-time', 'Ability to commute/relocate:']"
Android Developer,Gujranwala,,,,,['Job Type: Full-time']
MBA Finance,Gujranwala,,,,,"[' Accountant', ' Gujranwala', 'Under the general directions the accountant will maintain and analyze accounting records and financial reports. The accountant will also compile and maintain accounts payable records.', 'BBA(Hons) Finance, MBA (Finance) or other relevant degree', 'Excellent verbal and written skills.', 'Knowledge and ability to use different types of office equipment and computer software to meet the performance requirements of the job.', 'Microsoft Office (Word, Excel, and Outlook), and computer skills.', 'Classifies, records, and summarizes numerical and financial data to compile and keep financial records, using journal, ledgers, and computers.', 'Debits, credits, and totals accounts.', 'Receives, records, and banks cash, checks and vouchers.', 'Checks and approves all vouchers for payment.', 'Reviews and verifies accounting records and transactions for accuracy, and reports discrepancies found in records.', 'Prepares and submits financial reports as required and reviews for accuracy prior to distribution.', 'Prepares invoice deduction notices as necessary.', 'Accounting, or auditing reports and tables of cash receipts, expenditures, accounts payable and receivable.', 'Compiles reports to show statistics such as cash receipts and expenditures, accounts payable and receivable, profit and loss, and other items pertinent to operation of business.', 'Prepares daily cash deposits and processes daily credit card deposits.', 'Files check stubs and bank receipts.', 'Examines accounts and records and computes taxes owed according to prescribed rates, laws, and regulations.', 'Organizes and maintains tax records and conducts tax studies and special projects.', 'Performs other duties as requested.', 'Job Type: Full-time']"
Android Developer,Gujranwala,,,,,[]
Female Physiotherapist- Gujranwala,Gujranwala,,,,,"[': 3D Lifestyle is the largest medical Aesthetic Center. Its a UK based international brand and is operating nationwide in 27 plus centers across various cities in Pakistan. It provides different non surgical treatments like laser hair removal, body contorting (weight loss/fat loss) and anti aging.', '3D life style is urgently looking for Physiotherapist.', 'Fresh candidates with internship or house job experience can apply.', 'DPTS would be assisting us in different dermatology and cosmetology procedures as dpts better understand the anatomy of human body.', 'Candidates who can join us immediately would be preferred.', 'Job Type: Full-time']"
"Senior Developer, gt.school (Remote) - $100,000/year USD",Pakistan,,,,,[]
iOS App Developer,Gujranwala,,,,,[]
MBA Finance(Female ),Gujranwala,"Rs 15,000 a month",Full-time,,,"['Some responsibilities are mentioned below which may fluctuate as per requirements of organization:-', 'Documentation as per standards.', 'Submission of all documents as per instruction of customer/PO.', 'Book keeping.', 'Recovery of all receivable up to conclusion.', 'In time reporting to all concerned departments, and all related assignment to this post please', 'Job Type: Full-time', 'Pay: From Rs15,000.00 per month', 'Education:']"
Doctor - MBBS/DERMATOLOGIST (Aesthetic Physician) - GUJRANWALA,Gujranwala,,,,,"['Venus Aesthetics is a premier provider of advanced skincare and beauty solutions, dedicated to enhancing the confidence and well-being of our clients. We offer a wide range of aesthetic treatments and services delivered with expertise and personalized care, setting the standard for excellence in the industry.', 'Venus Aesthetics is currently seeking skilled and experienced Aesthetic Physicians, including Dermatologists and MBBS Doctors, to join our team at the Faisalabad branch. The ideal candidates will have a passion for aesthetics and skincare, along with the clinical expertise to deliver exceptional results to our clients.', 'Join us at Venus Aesthetics and become part of a team dedicated to helping clients look and feel their best. If you are a skilled and compassionate Aesthetic Physician with a passion for aesthetics and skincare, we invite you to apply.', 'Please submit your resume and a cover letter outlining your qualifications, experience, and interest in the position.', 'Job Type: Full-time', 'Pay: Rs50,000.00 - Rs150,000.00 per month', 'Application Question(s):']"
MBA Finance,Gujranwala,"Rs 15,000 a month",Full-time,,,"['Some responsibilities are mentioned below which may fluctuate as per requirements of organization:-', 'Documentation as per standards.', 'Submission of all documents as per instruction of customer/PO.', 'Book keeping.', 'Recovery of all receivable up to conclusion.', 'In time reporting to all concerned departments, and all related assignment to this post please', 'Job Type: Full-time', 'Pay: From Rs15,000.00 per month', 'Education:']"
